Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
5,Paul George,28,OKC,SF,77,77,2841,23.3,0.583,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1.0,10.0,29.5,7.0,4.9,11.9,0.201,5.6,1.6,7.2,6.6,MVP-3DPOY-3ASNBA1,georgpa01,2018,202331,Paul George - 2018,30560700.0
12,Steven Adams,25,OKC,C,80,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.7,0.4,1.1,2.1,0,adamsst01,2018,203500,Steven Adams - 2018,24157304.0
16,Russell Westbrook,30,OKC,PG,73,73,2630,21.1,0.501,0.279,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,1.8,5.0,6.8,0.124,2.8,2.4,5.2,4.7,MVP-10ASNBA3,westbru01,2018,201566,Russell Westbrook - 2018,35665000.0
19,Jerami Grant,24,OKC,PF,80,77,2612,13.8,0.592,0.356,0.269,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4.0,3.3,7.3,0.134,-0.4,0.6,0.2,1.5,0,grantje01,2018,203924,Jerami Grant - 2018,8333333.0
29,Karl-Anthony Towns,23,MIN,C,77,77,2545,26.3,0.622,0.27,0.342,10.9,29.3,20.0,17.2,1.3,4.2,13.7,28.9,7.2,3.2,10.4,0.197,5.4,0.6,6.0,5.1,AS,townska01,2018,1626157,Karl-Anthony Towns - 2018,7839435.0
30,Andrew Wiggins,23,MIN,SF,73,73,2543,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.2,-1.8,-3.0,-0.6,0,wiggian01,2018,203952,Andrew Wiggins - 2018,25467250.0
34,Nikola Jokić,23,DEN,C,80,80,2504,26.3,0.589,0.224,0.292,9.8,27.6,18.7,37.0,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7.0,MVP-4ASNBA1,jokicni01,2018,203999,Nikola Jokić - 2018,
37,Jayson Tatum,20,BOS,SF,79,79,2455,15.1,0.547,0.3,0.22,3.0,17.7,10.4,10.0,1.7,2.1,9.7,22.2,1.6,3.2,4.8,0.094,-0.4,0.2,-0.2,1.1,0,tatumja01,2018,1628369,Jayson Tatum - 2018,6700800.0
39,Jamal Murray,21,DEN,PG,75,74,2447,16.0,0.538,0.353,0.19,2.9,11.2,7.0,22.4,1.3,1.0,11.1,24.9,2.8,2.3,5.1,0.1,1.4,-0.8,0.6,1.6,0,murraja01,2018,1627750,Jamal Murray - 2018,3499800.0
55,Dennis Schröder,25,OKC,PG,79,14,2314,12.7,0.508,0.33,0.206,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.3,-0.7,-2.0,0.0,6MOY-8,schrode01,2018,1631516,Dennis Schröder - 2018,
