Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
8.0,Shai Gilgeous-Alexander,21.0,OKC,SG,70.0,70.0,2428.0,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,,gilgesh01,2019,Shai Gilgeous-Alexander,1628983.0
11.0,Nikola Jokić,24.0,DEN,C,73.0,73.0,2336.0,24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,MVP-9ASNBA2,jokicni01,2019,,
15.0,Jayson Tatum,21.0,BOS,PF,66.0,66.0,2265.0,20.4,0.567,0.383,0.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,0.146,3.5,0.6,4.0,3.4,MVP-12ASNBA3,tatumja01,2019,Jayson Tatum,1628369.0
18.0,Chris Paul,34.0,OKC,PG,70.0,70.0,2208.0,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,MVP-7ASNBA2,paulch01,2019,Chris Paul,101108.0
25.0,Robert Covington,29.0,2TM,C,70.0,68.0,2137.0,13.3,0.559,0.664,0.172,3.0,20.2,11.4,5.9,2.5,3.7,11.7,17.0,0.7,3.0,3.7,0.083,-1.2,1.3,0.0,1.1,,covinro01,2019,Robert Covington,203496.0
25.0,Robert Covington,29.0,MIN,PF,48.0,47.0,1411.0,13.5,0.572,0.629,0.19,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,0.5,1.8,2.3,0.078,-1.2,1.2,0.0,0.7,,covinro01,2019,Robert Covington,203496.0
25.0,Robert Covington,29.0,HOU,C,22.0,21.0,726.0,13.1,0.531,0.74,0.132,3.9,21.7,12.7,6.1,2.2,5.7,11.1,15.4,0.2,1.2,1.4,0.094,-1.2,1.4,0.2,0.4,,covinro01,2019,Robert Covington,203496.0
38.0,Julius Randle,25.0,NYK,PF,64.0,64.0,2080.0,17.5,0.538,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,0.062,0.7,-1.0,-0.3,0.9,,randlju01,2019,Julius Randle,203944.0
55.0,Dennis Schröder,26.0,OKC,PG,65.0,2.0,1999.0,16.7,0.575,0.337,0.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,0.087,1.1,-1.1,-0.1,1.0,6MOY-2,schrode01,2019,,
62.0,Marcus Morris,30.0,2TM,PF,62.0,62.0,1936.0,14.3,0.57,0.43,0.272,3.2,14.0,8.5,6.8,1.2,1.4,9.7,21.9,2.1,1.5,3.6,0.088,0.6,-0.7,-0.1,0.9,,morrima03,2019,,
