Player,Player_id
Álex Abrines,1631476
Mitch Creek,1631486
R.J. Hunter,1631496
Marcus Morris,1631506
Dennis Schröder,1631516
C.J. Miles,1631526
Cason Wallace,1631536
Vasilije Micić,1631546
Julian Strawther,1631556
Jalen Pickett,1631566
Jordan Walsh,1631576
Keyontae Johnson,1631586
Leonard Miller,1631596
Hunter Tyson,1631606
Jacob Toppin,1631616
Drew Peterson,1631626
Adam Flagler,1631636
Dmytro Skapintsev,1631646
Nikola Jokić,203999
Dennis Schröder,203471
Kevin Knox,1628995
Marcus Morris,202694
Dario Šarić,203967
Juancho Hernangómez,1627823
Timothé Luwawu-Cabarrot ,1627789
Robert Williams,1629057
Cameron Reynolds,1629244
PJ Dozier ,1628408
Vlatko Čančar,1628427
Théo Maledon,1630177
Melvin Frazier,204025
OG Anunoby,1628384
Kristaps Porziņģis,204001
Bojan Bogdanović,202711
Xavier Tillman Sr.,1630214
Dāvis Bertāns,202722
