"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Stephen Curry","37,457,154","46,700,853"
"2018/19 ","Russell Westbrook","35,665,000","44,466,430"
"2018/19 ","LeBron James","35,654,150","44,452,903"
"2018/19 ","Chris Paul","35,654,150","44,452,903"
"2018/19 ","Kyle Lowry","32,700,000","40,769,726"
"2018/19 ","Blake Griffin","31,873,932","39,739,800"
"2018/19 ","Gordon Hayward","31,214,295","38,917,377"
"2018/19 ","James Harden","30,570,000","38,114,083"
"2018/19 ","Paul George","30,560,700","38,102,488"
"2018/19 ","Mike Conley","30,521,115","38,053,134"
"2018/19 ","Kevin Durant","30,000,000","37,403,418"
"2018/19 ","Paul Millsap","29,230,769","36,444,356"
"2018/19 ","Al Horford","28,928,710","36,067,754"
"2018/19 ","Damian Lillard","27,977,689","34,882,040"
"2018/19 ","DeMar DeRozan","27,739,975","34,585,663"
"2018/19 ","Chris Bosh","26,837,720","33,460,749"
"2018/19 ","Jrue Holiday","26,641,111","33,215,620"
"2018/19 ","Otto Porter","26,011,913","32,431,148"
"2018/19 ","CJ McCollum","25,759,766","32,116,776"
"2018/19 ","Joel Embiid","25,467,250","31,752,073"
"2018/19 ","Andrew Wiggins","25,467,250","31,752,073"
"2018/19 ","Nikola Jokic","25,467,250","31,752,073"
"2018/19 ","Anthony Davis","25,434,263","31,710,946"
"2018/19 ","Bradley Beal","25,434,262","31,710,944"
"2018/19 ","Andre Drummond","25,434,262","31,710,944"
"2018/19 ","Hassan Whiteside","24,434,262","30,464,164"
"2018/19 ","Dwight Howard","24,256,725","30,242,814"
"2018/19 ","Steven Adams","24,157,304","30,118,858"
"2018/19 ","Giannis Antetokounmpo","24,157,304","30,118,858"
"2018/19 ","Marc Gasol","24,119,025","30,071,132"
"2018/19 ","Kevin Love","24,119,025","30,071,132"
"2018/19 ","Harrison Barnes","24,107,258","30,056,461"
"2018/19 ","Chandler Parsons","24,107,258","30,056,461"
"2018/19 ","Nicolas Batum","24,000,000","29,922,734"
"2018/19 ","Rudy Gobert","23,491,573","29,288,837"
"2018/19 ","Kawhi Leonard","23,114,066","28,818,169"
"2018/19 ","DeAndre Jordan","22,897,200","28,547,785"
"2018/19 ","LaMarcus Aldridge","22,347,015","27,861,825"
"2018/19 ","Serge Ibaka","21,666,667","27,013,580"
"2018/19 ","Aaron Gordon","21,590,909","26,919,126"
"2018/19 ","Danilo Gallinari","21,587,579","26,914,974"
"2018/19 ","Victor Oladipo","21,000,000","26,182,392"
"2018/19 ","Ryan Anderson","20,421,546","25,461,187"
"2018/19 ","Joakim Noah","20,261,172","25,261,235"
"2018/19 ","Kyrie Irving","20,099,189","25,059,279"
"2018/19 ","Jabari Parker","20,000,000","24,935,612"
"2018/19 ","Jimmy Butler","19,841,627","24,738,155"
"2018/19 ","Zach LaVine","19,500,000","24,312,221"
"2018/19 ","Wesley Matthews","19,360,228","24,137,956"
"2018/19 ","Allen Crabbe","19,332,500","24,103,386"
"2018/19 ","Enes Kanter","19,264,603","24,018,733"
"2018/19 ","Tyler Johnson","19,245,370","23,994,754"
"2018/19 ","John Wall","19,169,800","23,900,535"
"2018/19 ","Jeff Teague","19,000,000","23,688,831"
"2018/19 ","George Hill","19,000,000","23,688,831"
"2018/19 ","Klay Thompson","18,988,725","23,674,774"
"2018/19 ","Goran Dragic","18,109,175","22,578,168"
"2018/19 ","Kent Bazemore","18,089,888","22,554,121"
"2018/19 ","Evan Turner","17,868,853","22,278,539"
"2018/19 ","Draymond Green","17,469,565","21,780,714"
"2018/19 ","Tristan Thompson","17,469,565","21,780,714"
"2018/19 ","Tim Hardaway Jr","17,325,000","21,600,474"
"2018/19 ","Pau Gasol","17,133,285","21,361,447"
"2018/19 ","Reggie Jackson","17,043,478","21,249,477"
"2018/19 ","Evan Fournier","17,000,000","21,195,270"
"2018/19 ","Bismack Biyombo","17,000,000","21,195,270"
