game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
21800001,0,1610612738,BOS,Boston,34,14,6,18,1,4,1,15,9,11,1610612755,PHI,Philadelphia,50,5,16,4,0,16,10,14
21800002,0,1610612744,GSW,Golden State,58,20,13,14,4,3,0,21,8,21,1610612760,OKC,Oklahoma City,34,19,10,3,1,15,14,16
21800010,0,1610612750,MIN,Minnesota,54,14,16,4,6,9,0,11,6,11,1610612759,SAS,San Antonio,32,25,8,11,0,12,12,8
21800012,0,1610612743,DEN,Denver,42,15,12,11,9,6,1,11,11,9,1610612746,LAC,LA,48,14,8,8,2,14,6,10
21800025,0,1610612760,OKC,Oklahoma City,40,24,10,9,2,4,1,13,10,12,1610612746,LAC,LA,40,9,14,17,1,15,12,19
21800018,0,1610612751,BKN,Brooklyn,48,10,7,12,13,9,0,22,5,29,1610612752,NYK,New York,40,7,12,6,0,3,5,5
21800021,0,1610612750,MIN,Minnesota,56,13,18,21,6,5,1,14,8,19,1610612739,CLE,Cleveland,58,17,15,9,0,14,6,22
21800032,0,1610612742,DAL,Dallas,52,24,22,7,11,9,0,16,14,12,1610612750,MIN,Minnesota,40,12,29,15,0,17,15,28
21800028,0,1610612752,NYK,New York,40,10,11,1,2,9,0,16,14,15,1610612738,BOS,Boston,36,13,9,16,0,15,8,17
21800033,0,1610612756,PHX,Phoenix,30,11,9,0,0,1,0,19,7,21,1610612743,DEN,Denver,62,14,33,28,0,18,7,13
21800038,0,1610612743,DEN,Denver,48,11,17,13,8,9,2,10,19,12,1610612744,GSW,Golden State,44,12,11,12,1,19,11,19
21800037,0,1610612760,OKC,Oklahoma City,68,29,19,3,7,7,0,18,12,28,1610612758,SAC,Sacramento,68,7,18,17,3,20,8,26
21800042,0,1610612749,MIL,Milwaukee,52,16,5,19,2,5,1,15,5,19,1610612752,NYK,New York,50,16,7,1,1,12,11,13
